,City,Cloudiness,Country,Humidity,Latitud,Longitud,Max Temperature,Wind Speed
0,tobermory,0.0,CA,91.0,45.25,-81.67,52.0,10.42
1,rikitea,56.0,PF,81.0,-23.12,-134.97,74.03,11.43
2,easton,1.0,US,73.0,38.77,-76.08,78.01,3.36
3,hermanus,0.0,ZA,97.0,-34.42,19.24,50.0,1.01
4,lagoa,75.0,PT,94.0,37.14,-8.45,69.01,5.82
5,aleksandrovskoye,0.0,RU,44.0,56.74,85.39,75.2,8.95
6,tasiilaq,14.0,GL,86.0,65.61,-37.64,41.0,4.7
7,nanakuli,75.0,US,65.0,21.39,-158.15,82.4,10.29
8,bredasdorp,1.0,ZA,97.0,-34.53,20.04,48.99,1.01
9,punta arenas,90.0,CL,100.0,-53.16,-70.91,39.2,10.29
10,georgetown,75.0,GY,94.0,6.8,-58.16,75.2,2.24
11,pisco,90.0,PE,82.0,-13.71,-76.2,62.6,6.93
12,eslov,37.0,SE,100.0,55.84,13.3,64.0,2.73
13,ushuaia,75.0,AR,80.0,-54.81,-68.31,39.2,5.82
14,benjamin hill,14.0,MX,52.0,30.17,-111.1,84.99,3.0
15,vaini,75.0,IN,83.0,15.34,74.49,78.8,13.87
16,san cristobal,17.0,HN,93.0,14.68,-86.92,65.93,6.31
17,tucuman,0.0,PE,48.0,-17.17,-70.89,46.13,1.25
18,alofi,58.0,NU,94.0,-19.06,-169.92,71.6,10.29
19,mataura,99.0,NZ,90.0,-46.19,168.86,50.0,3.0
20,puerto ayora,56.0,EC,93.0,-0.74,-90.35,68.0,8.81
21,guerrero negro,0.0,MX,84.0,27.97,-114.04,67.01,12.08
22,hami,0.0,CN,19.0,42.84,93.51,89.51,8.19
23,buriti,0.0,BR,93.0,-22.93,-45.39,51.8,3.36
24,hithadhoo,0.0,MV,75.0,-0.6,73.08,84.65,12.86
25,jutai,13.0,BR,99.0,-1.71,-47.89,70.25,2.35
26,kapaa,20.0,US,74.0,22.08,-159.32,80.6,14.99
27,saint anthony,1.0,US,52.0,43.97,-111.68,69.8,4.7
28,vanimo,66.0,PG,72.0,-2.67,141.3,82.13,8.46
29,thompson,20.0,CA,59.0,55.74,-97.86,64.4,8.05
30,beringovskiy,47.0,RU,51.0,63.05,179.32,70.97,0.98
31,senneterre,90.0,CA,63.0,48.39,-77.24,64.4,6.93
32,saint-philippe,1.0,CA,88.0,45.36,-73.48,69.01,6.93
33,sola,99.0,TZ,66.0,-3.17,33.8,68.27,3.29
34,sabang,91.0,PH,70.0,13.8,121.11,85.91,3.15
35,grand gaube,75.0,MU,73.0,-20.01,57.66,73.99,2.24
36,albany,20.0,US,68.0,42.65,-73.75,70.0,10.29
37,east london,0.0,ZA,87.0,-33.02,27.91,57.2,10.29
38,busselton,24.0,AU,44.0,-33.64,115.35,64.0,9.13
39,ilulissat,8.0,GL,86.0,69.22,-51.1,41.0,4.83
40,tarbes,90.0,FR,88.0,43.23,0.08,66.0,3.36
41,qaanaaq,97.0,GL,56.0,77.48,-69.36,43.79,7.63
42,kruisfontein,6.0,ZA,91.0,-34.0,24.73,50.81,4.83
43,hilo,20.0,US,65.0,19.71,-155.08,79.0,3.36
44,yulara,0.0,AU,31.0,-25.24,130.99,64.4,11.41
45,butaritari,28.0,KI,80.0,3.07,172.79,83.93,15.39
46,cidreira,87.0,BR,94.0,-30.17,-50.22,62.69,6.49
47,jijiga,100.0,ET,89.0,9.35,42.8,60.89,9.57
48,jesus carranza,1.0,MX,26.0,31.49,-106.24,84.99,4.7
49,labuan,75.0,BN,70.0,5.28,115.24,89.6,2.24
50,port alfred,1.0,ZA,93.0,-33.59,26.89,54.0,1.99
51,port-cartier,90.0,CA,87.0,50.03,-66.88,57.2,13.87
52,shakawe,0.0,BW,32.0,-18.36,21.84,51.89,3.24
53,laguna,75.0,BZ,94.0,16.17,-88.94,78.8,1.99
54,wuwei,1.0,CN,20.0,37.93,102.64,85.19,7.96
55,bambous virieux,75.0,MU,73.0,-20.34,57.76,73.99,2.24
56,namatanai,100.0,PG,78.0,-3.66,152.44,78.89,4.23
57,luderitz,0.0,NA,87.0,-26.65,15.16,48.2,2.24
58,taldan,25.0,RU,36.0,53.69,124.82,82.85,2.93
59,carnarvon,0.0,ZA,30.0,-30.97,22.13,49.91,8.14
60,mahebourg,75.0,MU,73.0,-20.41,57.7,73.99,2.24
61,new norfolk,75.0,AU,57.0,-42.78,147.06,48.2,18.34
62,mar del plata,99.0,AR,57.0,-46.43,-67.52,41.99,6.67
63,arraial do cabo,0.0,BR,77.0,-22.97,-42.02,65.75,5.7
64,hobart,75.0,AU,57.0,-42.88,147.33,48.2,18.34
65,wanaka,66.0,NZ,76.0,-44.7,169.14,48.0,1.01
66,isla mujeres,75.0,MX,78.0,21.23,-86.73,82.4,8.05
67,hare bay,40.0,CA,66.0,48.86,-53.99,53.6,8.05
68,kutum,17.0,SD,61.0,14.2,24.66,75.47,13.47
69,felnac,40.0,RO,100.0,46.12,21.15,64.99,3.36
70,bemidji,40.0,US,88.0,47.48,-94.89,62.6,4.56
71,salalah,90.0,OM,100.0,17.01,54.1,78.8,5.82
72,asyut,0.0,EG,36.0,27.18,31.19,89.15,12.26
73,valdemarpils,40.0,LV,82.0,57.37,22.59,59.0,8.05
74,kaitangata,100.0,NZ,61.0,-46.28,169.85,52.0,4.0
75,kerman,20.0,IR,7.0,30.29,57.06,89.6,6.93
76,hobyo,68.0,SO,50.0,5.35,48.53,86.81,23.71
77,lompoc,90.0,US,93.0,34.64,-120.46,63.0,5.82
78,bayan,15.0,CN,37.0,36.1,102.26,70.43,6.35
79,bethel,90.0,US,93.0,60.79,-161.76,62.6,10.29
80,teacapan,100.0,MX,70.0,22.54,-105.74,84.11,3.91
81,westport,1.0,US,64.0,41.14,-73.36,73.99,6.93
82,khatanga,94.0,RU,62.0,71.98,102.47,55.85,9.1
83,khash,0.0,IR,10.0,28.22,61.21,91.13,10.58
84,harper,1.0,US,64.0,30.3,-99.24,75.0,5.53
85,atuona,53.0,PF,75.0,-9.8,-139.03,80.69,14.61
86,barcelona,3.0,ES,94.0,41.38,2.18,78.01,2.24
87,puerto del rosario,40.0,ES,78.0,28.5,-13.86,71.6,12.75
88,lebu,100.0,ET,88.0,8.96,38.73,57.11,1.43
89,taloqan,0.0,AF,10.0,36.74,69.54,101.93,13.78
90,saskylakh,98.0,RU,48.0,71.97,114.09,61.25,6.71
91,krasnooktyabrskiy,20.0,RU,77.0,44.93,38.37,72.0,4.47
92,chabahar,40.0,IR,62.0,25.29,60.65,89.6,13.87
93,sainte-claire,75.0,CA,82.0,46.6,-70.86,66.99,3.36
94,faanui,0.0,PF,68.0,-16.48,-151.75,77.99,4.07
95,ponta do sol,0.0,BR,62.0,-20.63,-46.0,55.67,1.5
96,houma,53.0,CN,19.0,35.63,111.36,95.09,7.31
97,tuktoyaktuk,75.0,CA,75.0,69.44,-133.03,46.4,8.05
98,provideniya,100.0,RU,44.0,64.42,-173.23,70.25,5.28
99,erdaojiang,49.0,CN,85.0,41.78,126.03,72.23,3.56
100,nikolskoye,0.0,RU,72.0,59.7,30.79,59.0,6.71
101,sitka,0.0,US,78.0,37.17,-99.65,72.0,9.86
102,narasannapeta,78.0,IN,46.0,18.42,84.04,95.63,8.84
103,korem,100.0,ET,55.0,12.51,39.52,67.01,2.39
104,saint george,0.0,GR,93.0,39.45,22.34,69.8,1.25
105,kaeo,90.0,NZ,88.0,-35.1,173.78,59.0,5.01
106,kocevje,40.0,SI,93.0,45.64,14.86,64.99,3.36
107,vao,89.0,EE,61.0,59.1,26.19,59.81,5.82
108,te anau,100.0,NZ,98.0,-45.41,167.72,45.23,7.27
109,los llanos de aridane,0.0,ES,77.0,28.66,-17.92,69.8,8.05
110,coahuayana,99.0,MX,95.0,18.62,-100.35,71.51,2.19
111,avera,1.0,US,88.0,33.19,-82.53,80.6,3.36
112,sisimiut,100.0,GL,88.0,66.94,-53.67,40.55,8.72
113,penzance,32.0,GB,93.0,50.12,-5.53,62.01,11.41
114,palmas,0.0,BR,68.0,-10.18,-48.33,71.6,3.36
115,kahului,1.0,US,94.0,20.89,-156.47,78.01,14.99
116,tucson,1.0,US,15.0,32.22,-110.93,95.0,2.59
117,kletnya,20.0,RU,82.0,53.39,33.22,55.4,6.71
118,bluff,48.0,AU,36.0,-23.58,149.07,72.77,9.48
119,birjand,0.0,IR,11.0,32.86,59.22,91.4,6.93
120,lewisburg,1.0,US,88.0,40.96,-76.88,69.8,2.62
